珥,vwei
二,v_
弍,vvea
佴,vrei
贰,vg/
发,f_
乏,fa/
伐,frea
罚,fzo
阀,fmu
筏,fpui
法,f.
砝,fse
珐,fwe
帆,fjua
番,ft
蕃,fcu
幡,fjuo
藩,fcoo
翻,fv;
凡,fjo
矾,fsua
烦,fh;
樊,fd/
璠,fwu
繁,fx
反,fy
返,flu
犯,fq
饭,fs
泛,fd;
范,fc
贩,fb;
梵,fme
方,fo
坊,ft;
芳,fco
祊,bnoe
防,fa;
妨,fno
肪,fvoe
房,fh
仿,fr;
访,fyo
纺,fjoe
舫,fzoe
放,ff
飞,fz
妃,fna
非,fi
菲,fci
啡,fki
绯,fji
扉,fhie
蜚,feie
霏,fvi
鲱,fvie;
肥,fva
淝,fdua
腓,fviee
匪,fni
诽,fyi
悱,fli
斐,fwi
翡,fvie
芾,fcei
吠,fke
肺,fvei
狒,fq;
废,fga
沸,fda
费,fb
痱,fbi
分,fu
芬,fc/
吩,fku
纷,fj;
氛,fqu
酚,fyuo
坟,fto
汾,fduo
焚,fh/
鼢,fsuo
粉,fn;
份,f/
奋,fdi
忿,fx/
粪,fne
愤,fle
丰,fhe
风,fj
沣,fdee
枫,fm;
封,"f,"
疯,fbu
峰,fsu
烽,fhu
锋,fj/
蜂,feu
酆,fpi
冯,fg;
逢,fl/
缝,fju
讽,fyu
凤,fja
奉,fv/
俸,free
佛,fra
缶,fue
否,fk
夫,fe
呋,fkee
肤,fve
麸,ftua
趺,fze
孵,fpa
敷,fw;
弗,fu/
伏,fre
凫,fiu
扶,ff;
芙,fcee
孚,fza
拂,ffa
服,fv
怫,fla
罘,fzeu
氟,fq/
俘,fru
蚨,feee
浮,fdu
符,fpu
匐,fbei
涪,fdo
幅,fje
辐,fce
福,fn
蝠,fee
抚,ffe
甫,fhi
斧,ffu
府,f;
俯,fro
釜,ffee
辅,fc;
腑,fvo
腐,fgu
父,fp
讣,fyio
付,fr
负,fd
妇,fa
附,fp;
咐,fkui
阜,fsui
驸,fmui
赴,fti
复,fw
副,fl
赋,fbe
傅,frei
富,fg/
腹,fvu
缚,fjei
覆,fxu
馥,ftu
袱,fnu
旮,gquae
伽,jrau
呷,gki
嘎,ga;
尬,gtau
该,gy
垓,gto
赅,gboe
改,ga
丐,ghi
钙,gjei
盖,gb/
溉,gda
概,gma
甘,gce
肝,gve
泔,gdeii
柑,gmeii
竿,gp/
疳,gbei
尴,gta
杆,gmee
秆,ghe
赶,gt
敢,gw;
感,gx
橄,gmae
擀,gfeii
干,gv
淦,gduo
赣,gtei
冈,gnu
刚,g;
肛,gvei
纲,gjia
钢,gj;
缸,gfei
罡,gze
岗,gs/
港,gd;
杠,gmei
戆,gxo
皋,gbe
高,go
羔,gboo
睾,gsui
膏,gv/
篙,gpo
糕,gno
搞,gf
缟,gjoe
槁,gmoe
镐,gjo
稿,gho
告,gn
诰,gyue
锆,gjue
戈,gha
圪,gtue
鹕,hiei
纥,hjue
疙,gbue
咯,gku
哥,gk
胳,gvua
鸽,giu
搁,gfo
割,glo
歌,gq;
革,gei
阁,gmua
格,gm;
隔,gpe
嗝,gkei
搿,gsuo
膈,gveia
骼,ggua
舸,gzei
葛,gci
个,g_
各,gw
硌,gsu
铬,gjua
给,gj
根,gm
跟,gz
哏,gka
亘,gq/
艮,gxa
庚,gga
耕,gv;
赓,ggae
羹,gbo
埂,gte
耿,gvo
哽,gk;
梗,gme;
更,ge
工,gh
弓,ga/
公,gu
功,gg
攻,ggu
肱,gveu
宫,ggi
恭,gc/
蚣,geuo
躬,gs;
龚,gue
觥,gjio
巩,gg;
汞,gsei
拱,gf/
珙,gwe
共,gc
贡,ggia
供,gr
勾,gba
佝,gru
沟,gdu
钩,gju
篝,gpee
苟,gcu
狗,gqu
枸,gmuai
构,gmu
购,gb;
诟,gyu
垢,gtu
够,g/
媾,gnee
估,gre
咕,gke
沽,gdei
孤,gz;
姑,gne
鸪,gi;
菇,gca
蛄,gee
辜,gxe
觚,gjuu
毂,gseie
箍,gpei
古,gsi
谷,gbu
汩,gdia
诂,gyei
股,gvu
骨,gia
牯,gnei
蛊,ge/
鼓,gie
鹘,hgua
瞽,gmeie
固,gk/
故,"g,"
顾,gye
梏,gmue
崮,gsia
雇,ghu
痼,gbia
瓜,gpu
呱,gkuu
刮,gl;
鸹,giue
剐,gli
寡,ggeu
卦,gti
挂,gf;
褂,gn;
乖,gua
拐,gfi
怪,g.
关,gb
观,gyi
官,gg/
倌,gro
棺,gmo
鳏,gvi
莞,gco
馆,gso
管,gp
贯,gt/
冠,gge
掼,gfa
惯,gla
盥,gmui
灌,gde
鹳,giei
罐,gfe
光,gs
咣,gkio
洸,gdio
胱,gvio
广,gd
犷,gqo
逛,glu
归,gja
圭,gh/
龟,gdi
规,gje
皈,gbuu
闺,gm/
珪,gwei
硅,gse
瑰,gwu
鲑,gveie
轨,gc;
诡,gy;
鬼,gui
癸,gdao
晷,gqua
柜,gmea
炅,jqou
刿,glia
刽,gluo
贵,gbi
桂,gme
桧,hmuo
跪,gzu
鳜,gveuo
衮,gwa
辊,gcia
滚,gdo
鲧,gvuaa
棍,gmi
呙,gkiau
郭,guo
啯,gkia
聒,gvue
锅,gji
蝈,geia
国,gi
掴,gfia
帼,gjiae
虢,ghuo
果,gq
裹,gwi
过,gl
哈,h;
蛤,geu
还,he
孩,hz
骸,hgoe
海,hdu
亥,hwa
骇,hmo
氦,hqoe
害,hg
嗐,hkooa
蚶,heei
酣,hyei
憨,hxa
鼾,hbee
邯,hpei
含,hro
函,hna
晗,hquo
涵,hdai
韩,hv;
寒,hn
罕,hgu
喊,hke
汉,hda
汗,ha;
旱,hqe
捍,hfi
悍,hlia
菡,hcai
焊,hhi
颔,hyu
撖,hfa
撼,hfe
翰,hvuo
憾,hleu
瀚,hdei
夯,hdau
行,xc
杭,hmoe
航,hzo
蒿,hcoe
薅,hcau
毫,hwu
嗥,hkuia
豪,hw/
壕,ht;
嚎,hkoe
濠,hdoe
好,ha
郝,hpe
号,hao
昊,hqee
耗,hvu
浩,hdue
皓,hb;
颢,hyi
灏,hdiae
诃,hyeii
呵,hke;
喝,hki
嗬,hkei
禾,hue
合,hu
何,rk
和,h_
劾,hlo
河,he;
曷,hqua
阂,hm/
盍,hta
荷,hc/
核,hm;
菏,hcoo
盒,hri
涸,hdia;
颌,gyuo
阖,hmei
贺,hb/
赫,htu
褐,hni
鹤,hio
壑,hti
黑,hi
嗨,hkoo
嘿,hkia
痕,hba
很,h/
狠,hq
恨,hla
亨,hwi
哼,hko
恒,hlei
横,hm
衡,hc;
蘅,hcuu
轰,hca
訇,hbo
烘,hhe
薨,hciai
弘,hga
红,hj
宏,hg/
玜,hwuo
泓,hdae
荭,hcaa
虹,hee
洪,hde
鸿,hioo
蕻,hceie
哄,hk;
讧,hye;
齁,hbu;
侯,hra
喉,hkui
猴,hqu
瘊,hbui
骺,hguue
吼,hka
后,hv
厚,heu
逅,hluu
候,rs
乎,hp
呼,hku
忽,hx
惚,hlua
狐,hq;
弧,hguu
胡,hve
壶,ht/
斛,hjo
葫,hcei
鹄,hnue
猢,hqeii
湖,hd;
瑚,hw;
糊,hne
虎,hie
浒,xdoa
唬,hkie
琥,hwie
互,hha
户,hd/
护,hf
沪,hdoa
祜,hnei
笏,hpua
扈,hhia
花,hc
砉,hveu
划,hgi
华,hs
哗,hua
猾,hqia
滑,hdia
化,hr
画,hh
话,h.
桦,hmui
怀,hl
徊,hci
淮,hdui
槐,hmu
踝,hzi
坏,ht
欢,hy
獾,hqei
环,hw
桓,hme
圜,hkiai
寰,hgia
缳,hjia
鬟,hbi
缓,hju
幻,hya
奂,hpai
宦,hgei
换,hfu
唤,hkua
涣,hdua
浣,hdoo
患,hxi
焕,hhu
痪,hbua
豢,hso
肓,hvo
荒,hco
慌,hl;
皇,hbe
黄,hb
凰,hj/
隍,hpu
遑,hl/
煌,hhui
璜,hwe
蝗,heui
磺,hs;
簧,hze
恍,hli
晃,hqi
谎,hye
幌,hji
灰,hto
诙,hyeu
挥,hfo
咴,hkeu
恢,hle
珲,hwo
晖,hqo
辉,hgo
麾,hau
徽,hpa
回,hk
茴,hcia
蛔,hei
悔,hlu
毁,hsu
卉,hse
汇,hui
会,kr
讳,hy;
荟,hcao
浍,kdu
诲,hyue
绘,hj;
恚,htoa
贿,hbeu
烩,hhuo
彗,hxee
晦,hque
秽,hh;
惠,hxe
喙,hkaa
慧,hx;
蕙,hce
昏,hq/
荤,hae
婚,hnu
浑,hdo
馄,hsi
混,hdi
魂,hg;
诨,hyo
豁,hge
活,hd
火,ho
伙,hr;
或,"h,"
货,hbu
获,hcu
祸,hn;
惑,hx/
霍,hv/
镬,hje
藿,hceo
嚯,hkeo
讥,jyua
击,jvi
叽,jku
饥,js;
玑,jwua
圾,jtua
芨,jcuao
机,"j,"
肌,jvu
矶,jsua
鸡,jyu
咭,jkei
唧,jkae
积,jh
笄,jpe/
屐,jsuu
姬,jn;
基,jq
犄,jneu
缉,jjia;
畸,jte
跻,jzoeu
箕,jpeii
箕,jzeii
稽,jhe
齑,jwie
畿,jgaa
激,jdu
羁,jzei
亼,jree
及,jpa
吉,jt/
岌,jsu/
汲,jdua
级,ja;
极,mj
即,jga
佶,jreie
亟,jhai
笈,jzua
急,jxu
疾,jbu
棘,jsei
集,jz/
楫,jmia
辑,jci;
嫉,jno
瘠,jbo
藉,jcee
籍,jpee
几,ju
己,ja/
虮,jeu
挤,jfo
脊,jvo
戟,jvea
麂,juua
彐,xzee
计,jy
记,j.
伎,jreia
纪,jaa
技,fm
忌,jjoa
际,jpe
妓,jne;
季,jha
剂,jloe
迹,jlo
济,jdo
既,jx;
觊,jjiai
继,jj;
偈,jria
祭,jsu
悸,jlue
寄,jg/
寂,jgi
绩,jje
蓟,jcuai
霁,jvo/
暨,jqa
稷,jhia
鲫,jvae
髻,jbei
冀,jcie
骥,jmiee
加,j;
佳,jr;
迦,jlau
珈,jwau
挟,xfe
枷,jmaui
浃,jdeo
痂,jbau
家,jo
笳,jzau
袈,jyau
葭,jcae
嘉,jtia
镓,jjoo
夹,jeo
荚,jceo
戛,jgeu
颊,jyeo
甲,ji/
胛,jvia
贾,jxia
钾,jji;
假,jia
价,jru
驾,jmau
架,jma
嫁,jnoo
稼,jho
戋,jgee
尖,jxe
奸,jne
歼,jtue
坚,jti
